,title,publisher,published,cited_num,times_cited,abstract,keywords,keyword_plus,authors_address,author_university,cited
37,"
NONLINEAR MODELS FOR DESCRIPTION OF CACAO FRUIT GROWTH WITH ASSUMPTION VIOLATIONS",Revista Caatinga,2020年3月,17,35,"As an alternative use of natural marine resources, processing waste from whitemouth croaker was used as raw material for the production of fish protein hydrolysate (FPH). The biometric characterization of the raw material was determined, and the optimal conditions of the protease established using DH (degree of hydrolysis) as the criterion. Bromatological analyses were performed according to AOAC methods. The DH were determined by the TCA (trichloroacetic acid) method and expressed as a percentage of solubilized protein after hydrolysis compared to the total protein in raw material. The average yields of viscera, heads and carcasses were 7.4, 36.3 and 56.3%, respectively. The optimal conditions for enzyme action on the viscera were: 55 degrees C, hydrolysis time of 90 min, and enzyme concentration of 0.4 mg mL(-1). For the muscle, the conditions established were: 45 degrees C, 90 min, and 0.8 mg mL(-1). The dry matter of hydrolysate from viscera yielded 73.5% supernatant (soluble fraction) and 27.5% precipitate (insoluble fraction), while that from muscle yielded 45.7% and 54.3%, respectively. The hydrolysate from viscera presented 86.0% proteins, 0.4% lipids and 4.4% ashes in the soluble fraction, and 51.0% proteins, 25.8% lipids and 5.1% ashes in the insoluble fraction. The hydrolysate from muscle presented 8 6.0% proteins, 0.4% lipids and 9.0% ashes in the soluble fraction, and 8 7.0% proteins, 4.4% lipids and 2.4% ashes in the insoluble fraction. A lower degree of hydrolysis of hydrolysate from muscle than that produced from viscera was observed, demonstrating the different interactions between the enzyme and the residues studied.",Biological interpretation;?Biometric measurement;?Logistic model;?Theobroma cacao L.,IN-SITU DEGRADABILITY;?CURVES,"Universidade Federal de Lavras?Univ Fed Lavras, Dept Stat, Lavras, MG, Brazil.","Univ Fed Lavras, Dept Stat, Lavras, MG, Brazil",
38,"
Hidrolizado proteico de desechos de corvina (Micropogonias furnieri) como una manera de agregar valor a los peces y reducir los pasivos ambientales de la industria pesquera",Latin american journal of aquatic research,2020年11月,2,28,"Forest breeding is a science that has been developing in Brazil since 1941 being the Eucalyptus a highlighted genus in this scenario. In a global scene, Brazil is displayed prominently in productivity of Eucalyptus planting, due to favorable environmental conditions to cultivation development, and the incentive in research for improvement of traits of interest t observed in it species and hybrids. This research included a historical review of Eucalyptus breeding over the years under genetic biometric perspective in Brazil, from reports describing the pioneer planting up to the current genome wide selection (GWS) that came as a complement of forest breeding success. This review showed some of the tracks performed by researchers aiming to improve the productive and quality of phenotypic traits from Eucalyptus genus.",Micropogonias furnieri;?fish protein hydrolysate;?fish waste;?protease,ENZYME CONCENTRATIONS;?SUBSTRATE,"Universidade do Vale do Itajai?Univ Vale Itajai, Programa Posgrad Ciencia & Tecnol Ambiental, Itajai, SC, Brazil.","Univ Vale Itajai, Programa Posgrad Ciencia & Tecnol Ambiental, Itajai, SC, Brazil",
39,"
Brief history of Eucalyptus breeding in Brazil under perspective of biometric advances",Ciência Rural,2020年9月,11,56,"Information about the morphology, chemical composition and reserve mobilization is important in understanding the establishment of native and exotic species. The purpose of this study was to describe the morphology, chemical composition, and mobilization of reserves during germination of noni (Morinda citrifolia L.). Biometric and morphological analyzes were performed with 100 randomly selected dried seeds. Other seeds were treated with sulfuric acid PA and soaked in Petri dishes. Collected seeds of five different times of germination were used for cytochemical and chemical analysis. For cytochemical analysis, the cuts of 5 mu m were submitted to dyes TB at pH 4.0; XP at pH 2.5, reaction of PAS and Sudan IV. The seeds were crushed for chemical analysis with lipids, proteins and soluble sugars extraction that were determined gravimetrically, by the Bradford method and the Antrona method, respectively. The fatty acid composition of the dry seed was determined by gas chromatography. Noni seeds are albuminous and have a thick seed coat, rich in lignin. Lipid and protein bodies were observed inside the endosperm cells, representing 43.50% and 9.15% respectively, while the reservoir of soluble sugars was less than 5%. Linoleic acid was the most prevalent with 68.1%. The lipids were mobilized during germination, suffering a reduction of up to 38% of its total. Proteins, as well as lipids decreased by 25.78% during the germination period observed. The main reserves of noni seeds are lipids and proteins that are mobilized during germination to provide energy and matter to the developing embryo and synthesis of more complex compounds.",genetics;?crossing;?history;?current scenario;?biometry;?genomic,QUANTITATIVE TRAIT LOCI;?WOOD QUALITY TRAITS;?UROPHYLLA PROGENIES;?GENOMIC SELECTION;?FOREST TREES;?GRANDIS;?RESISTANCE;?GROWTH;?IDENTIFICATION;?GLOBULUS,"Universidade Federal de Vicosa?Univ Fed Vicosa, CCA, Dept Engn Florestal, BR-36570900 Vicosa, MG, Brazil.","Univ Fed Vicosa, CCA, Dept Engn Florestal, BR-36570900 Vicosa, MG, Brazil",
40,"
The morphological characterization of the dry seeds and reserve mobilization during germination in Morinda citrifolia L.",Revista Ciência Agron<U+00F4>mica,2020年9月,2,39,"Animal identification as a method for fauna study and conservation can be implemented using phenotypic appearance features such as spots, stripes or morphology. This procedure has the advantage that it does not harm study subjects. The visual identification of the subjects must be performed by a trained professional, who may need to inspect hundreds or thousands of images, a time-consuming task. In this work, several classical segmentation and preprocessing techniques, such as threshold, adaptive threshold, histogram equalization, and saturation correction are analyzed. Instead of the classical segmentation approach, herein we propose a Markov random field segmentation model for spots, which we test under ideal, standard and challenging acquisition conditions. As study subject, the Diploglossus millepunctatus lizard is used. The proposed method achieved a maximum efficiency of 84.87%.",Cytochemical;?Lipids;?Fatty acids;?Proteins;?Germination,NONI;?OIL,"Universidade Federal do Ceara?Univ Fed Ceara, Ctr Ciencias, Dept Biol, Fortaleza, CE, Brazil.","Univ Fed Ceara, Programa Posgrad Bioquim, Fortaleza, CE, Brazil",
41,"
A Markov random field image segmentation model for lizard spots",Revista Facultad de Ingeniería Universidad de Antioquia,2020年6月,0,26,"Renal health has over the last few years called attention of veterinarians, because the chronic failure of the kidneyu is a major cause of morbidity and mortality in cats. This paper proposes biometric characterization of the kidneys from cats, Felis catus, on the macroscopic aspects (length, height, width, weight and volume), mesoscopic (height of the cortex and medulla, and their inter-relationship) and microscopic (glomerular volume) in order to establish possible differences arising from age, gender and bilateral symmetry. It where used 30 kidneys of animals from specie Felis catus (cat), 15 males and 15 females with ages between 3 months to 15 years, divided into three groups: group 1 (3-9 months), group 2 (3-5 years) and group 3 (above 10 years). The kidneys were photographed, weighed, measured and processed for histology. The glomerular volume was obtained by stereology. The macroscopic data allowed to observe a morphometric and morphologic impartiality when compared sides, regardless of group and sex, about the length, height, width, weight and kidney volume. Significant difference was detected between males and females regardless of age for length, height, weight and volume, except for the width. There was a significant difference for all parameters considering the age: length, height, width, weight and volume. Wasnt detected signficant diferences between left and right kdney measurements of cortex, medulla and their inter-relationship, when considered bilateral symmetry. No difference was detected between males and females in mesoscopy in the cortex, medulla and cortex interrelationship cortex/medulla. Regarding age, the measurement of the height of the cortex and the interrelationship cortex/medulla showed a significant difference, but this difference was not established to the medulla of the kidney. Significant differences were found between groups, males and females, compared to the volume occupied by the glomerulus on the parenchyma renal. In all of biometric techniques there wasnt differences between right and left kidneys. The macroscopic measurements showed that males had larger kidney when compared length, height, width, weight and volume than females. The age range is directly related to the size of the kidney, which grows in all dimensions, gets heavier and with higher volume when compared young adults, and shows morphometry stability in relation to adults and senile. The renal parenchyma did not differ between the sexes, but the height of the cortex and the medulla ratio increases with age. The volume of the renal glomerulus is higher in males than in females and also increases in with the age. The kidneys showed a predominance of type I collagen in group 1 and 2, and type III collagen in group 3.",Belief propagation;?Markov network;?Graph Cuts;?animal biometrics;?Markov random field;?Diploglossus millepunctatus,COMPUTER-ASSISTED SYSTEM;?PHOTOIDENTIFICATION,"Universidad de Antioquia?Univ Antioquia, Fac Ingn, Grp Sistemas Embebidos & Inteligencia Computac SI, Calle 67 53-108 AA 1226, Medellin, Colombia.","Univ Antioquia, Fac Ingn, Grp Sistemas Embebidos & Inteligencia Computac SI, Calle 67 53-108 AA 1226, Medellin, Colombia",
42,"
Morphometric study on the kidneys of domestic cats (Felis catus)",Pesquisa Veterinária Brasileira,2020年4月,0,46,"ABSTRACT Nowadays, represents an attractive challenge the application of Automatic speaker recognition in real scenarios, where the use of short duration signals for forensic or biometric speaker verification is very common. In this paper we perform an analysis of the behavior of within-class and between-classes scatter matrices, showing the importance to reduce within-class scatter to face the speaker recognition with short duration utterances. In addition, two duration compensation methods for short duration utterances on i-vector framework were proposed. Both of them were evaluated through speaker verification experiments on NIST-SRE 2008 dataset. The proposed methods shown an improvements under enrollment-test matched conditions regard to the duration.",Felis catus;?cats;?stereology;?kidney;?collagen,ULTRASONOGRAPHIC MEASUREMENT;?HISTOPATHOLOGY;?DISEASE;?VOLUME;?DOGS,"Universidade de Sao Paulo?Univ Sao Paulo, FMVZ, Dept Cirurg, Rua Prof Dr Orlando Marques de Paiva 87, BR-05508270 Sao Paulo, SP, Brazil.","? Univ Sao Paulo, FMVZ, Dept Cirurg, Rua Prof Dr Orlando Marques de Paiva 87, BR-05508270 Sao Paulo, SP, Brazil",
43,"
Variability compensation for speaker verification with short utterances",Revista Cubana de Ciencias Informáticas,2020年3月,0,16,"Tree species have potential for use in various industries and supply chains. In this context, biometrics constitutes an important tool to identify key features intrinsic to the fruit and seed. Therefore, the aim of this study was to characterize biometrically the fruits and seeds of mirindiba and inajá and to correlate the fruit and seed parameters of each species in order to obtain information on biometric variation. Equatorial diameter, longitudinal length, fresh pulp, fresh weight of the fruit pulp and seed, fruit volume, volume index of seeds, humidity of the pulp and seed moisture collected in south of Piaui, were analyzed, considering 100 fresh fruits and 100 seeds from ten trees of each species. Biometric features were analyzed by frequency distribution, calculating the Spearman correlation coefficient (rs) and the level of significance using the t test. The fruits and seeds of mirindiba and inajá exhibit variability for most biometric characteristics evaluated, as well as predominantly positive correlation between them. The fruits have great economic potential for the high yield of pulp observed, with the possible selection of fruits with higher pulp content by characteristics such as weight and fruit size.",?short utterance; variability compensation; speaker verification; i-vector,,"Advanced Technologies Application Center (CENATAV), Cuba",,
44,"
Biometric characterization of fruits and seeds mirindiba (Buchenavia tomentosa Eichler) and inajá (Attalea maripa [Aubl.] Mart.) in southern Piauí, Brazil",Revista de Ciências Agrárias,2020年9月,3,24,"The establishment of the trophic structure of fish provides information on species autoecology and their role in the ecosystem, in addition to supporting conservation and management practices for sustainable use of native species. In the semiarid region of Rio Grande do Norte there are few studies of the natural diet of fish. In this context, this study aimed to characterize the trophic structure of the fish assemblage of the Santa Cruz reservoir, Apodi, state of Rio Grande do Norte, Brazil. Fish were collected quarterly (February, May, August and November) in eight points in the reservoir in 2011. After screening, biometric identification and analysis, stomach or intestinal contents were analyzed and food items identified were used for the calculation of the frequency of occurrence and volumetric whose association gives the Alimentary Index (IAi). The highest consumption of a particular item grouped the species into five trophic guilds, and the detritivore/iliophagous, insectivore and carcinophagous the most abundant in the months and collection points, compared to herbivorous and piscivorous. The high abundance of individuals in these guilds can be explained by opportunistic species and the capture facility and intake of resources, since detritus/sediment, insects and shrimp are abundant in the environment studied. Thus, this study provided information about the items that contribute to the diet species, making it possible to infer about the interactions, allowing in the future to understand the complexity of trophic relationships and to assist the management practices and conservation of environment.",biometrics; Cerrado; Spearman correlation; tree species,,"?Instituto Federal de Mato Grosso, Brasil",,
45,"
Trophic structure of the ichthyofauna in a Brazilian semiarid reservoir",Iheringia. Série Zoologia,2020年,7,73,"The median nerve is responsible for the innervation of the muscles of the superficial layer of the anterior compartment of the forearm, it originates along its course in the arm and forearm, branches to these muscles. Some branches originated from common trunks (Ct). We studied 30 upper limbs of Brazilian adults corpses, fixed in 10 % formaldehyde in order to obtain an anatomical and biometric description of the origin and distribution of the branches of the median nerve in the superficial muscles of the forearm: pronator teres (Pt), palmaris longus (PL), flexor carpi radialis (FCR), flexor digitorum superficialis (FDS) and classify these branches (Br) according to their origin. We performed dissections and recorded origins in relation to the biepicondilar line (BEL). With the results we obtained a classification of the branches to the muscles of the superficial layer of the anterior compartment in 4 patterns (I, II, III, IV; the I classified in IA and IB), including the origin of anterior interosseous nerve (AIN). In the pattern IA (29 %), branches originated from proximal to distal in the following sequence: CtPT, PL, FCR, AIN, Br1FDS, Br2FDS; in pattern IB (41 %) showed CtPt, TcFCR and PL, AIN, Br1FDS, Br2FDS; in pattern II (4 %) was CtPt and FCR, PL, AIN, Br1FDS, Br2FDS, Br3FDS; in pattern III (11 %) it was CtPt, Ct FCR and PL, AIN, Br1FDS, Br2FDS, Br3FDS and in pattern IV (15 %) was Br1Pt, Br2Pt, CtFCR and PL, Br1FDS, AIN, Br2FDS. In type pattern IB, the first muscle to receive branches from the median nerve in the forearm was the PT, which in 53 % of cases originated from a common trunk. The PL was the second to be innervated, leaving third place to FCR, which 50 % were supplied by a common trunk. The latest to be innervated muscle was the FDS, which received two branches in 57 % of cases. The results are a contribution to the knowledge of the innervation of the muscles of the superficial layer of the anterior compartment of the forearm.",Trophic guilds;?fishes;?Santa Cruz Reservoir,PLAGIOSCION-SQUAMOSISSIMUS PERCIFORMES;?RIVER;?DIET;?FISH;?CHARACIFORMES;?CHARACIDAE;?SCIANIDAE;?DIPTERA,"Universidade do Estado do Rio Grande do Norte (UERN)?Univ Estado Rio Grande do Norte, Dept Ciencias Biol, Lab Ictiol, Av Prof Antonio Campos, BR-59625620 Mossoro, RN, Brazil.","? Univ Fed Rural Semi Arido, Dept Ciencias Anim, Lab Ecol Peixes & Pesca Continental, BR 110 Km 47, BR-59625900 Mossoro, RN, Brazil",
46,"
Origin and Distribution of the Motor Branches for the Superficial Muscles of the Anterior Region of the Forearm in Brazilian Individuals",International Journal of Morphology,2020年3月,4,23,"Identifying people using biometric features such as fingerprints, it is considered a secure authentication mechanism. Cryptographic systems proposed for the protection template fingerprint minutiae need to perform the alignment process of the biometric templates due to variability of data in different samples of the same feature. Alignment models proposed in the literature base their operation on the selection of a focal point, the formation of structures of minutiae or detection of the singularities of the fingerprint. These features may or may not be present in the fingerprint, they may vary from one sample to another and may be selected wrongly, consequently resulting in loss of performance of authentication system. This research aims at developing a method of representing the information contained in the minutiae templates and identifying characteristics extraction, rotation and translation invariant, which enables the analysis of the characteristics of the minutiae obtained locally and overall, to lessen the impact of the elimination of real minutiae and the inclusion of false minutiae, using the combination of two structures minutiae. The process consists of 3 stages: formation of the complex structure of minutiae extraction invariant to rotation and translation characteristics from triplets and classification of the extracted features. The comparison process is performed by calculating similarity between each complex structure.",Anatomy; Forearm; Median nerve; Motor branches,NERVE ENTRY POINTS;?MEDIAN NERVE;?ANATOMY,"Universidad San Sebastian?Univ San Sebastian, Sede Concepcion, Dept Ciencias Morfol, Lientur 1457, Concepcion 4080871, Chile.","? Univ San Sebastian, Fac Ciencia, Dept Ciencias Morfol, Concepcion, Chile",
47,"
Method for minutiae representation and identifying information extraction on fingerprint templates",Revista Cubana de Ciencias Informáticas,2020年12月,0,19,"The investigation of this research paper analyses multidisciplinary biometric identification systems and their role in the identification of persons examining both principles and scientific origin, with their qualities and limitations. In parallel it also examines the constitutionality and effect of regulations that have been adopted in succession in Peru on the obligation under sanction of biometric consultation by the notaries. In practice, this determines the preponderance of the result of an automated test on the validity of the notarized certificate. Finally, and taking as a theoretical framework the most recent research specialized in the field of biometric identification, the danger of the attribution of infallibility to systems of automated identification is warned. The paper concludes with the consequences of this attribution applied by supervisory bodies and the Peruvian authorities for the notarial function and legal security.",?minutiae structure; information representation; minutiae template; template protection,,"Universidad de las Ciencias Informáticas, Cuba",,
48,"
Nine years of Biometrics in Peru: The Fate of Identification at the crossroads",Revista IUS,2020年12月,0,9,"The purpose of this communication is to review the importance of fetal maturity determination by non-invasive procedures using ultrasound Doppler velocimetry and grayscale. The authors emphasize the importance of precisely specifying fetal lung maturity when deciding to terminate pregnancyfor various indications in order to avoid consequences of prematurity including newborn's respiratory distress syndrome (ROS) due to absence of lung su rfactant that could lead even to death. The authors coincide that a multiparameter diagnosis of gestational age calculation starts from a first ultrasound study between 5 and 10 weeks, assessment of lung vascular impedance by Doppler accompanied by intestinal maturity, degree of cerebral corticalization, presence of nuclei ossification, current biometric fetal age and estimation of weight. They conclude emphasizing that in doubt and presence of a healthy fetus, with good growth, and normal hemodynamic biophysical profile, the more sensible course is to wait for the completion of gestation according to new criteria that redefine the duration of pregnancy and has been proposed by the ACOG.",Biometrics; Identity; knowledge certificate; identity certificate; notary; Kelsen's normative hierarchy,,"Universidad de Lima, Peru",,
49,"
Ultrasound evaluation of fetal lung maturity, is it reliable?",Revista Peruana de Ginecología y Obstetricia,2020年10月,0,0,"This study has aimed to carry out the description of fruits and seeds and germination process of desert rose, from two years of observations. The fruits and seeds were characterized based on length, diameter and number of seeds per fruit. The seeds internal structure and germinating process were also described. Germination test was performed at 25 and 30 degrees C temperatures, determining the germination percentage and germination speed index. Seeds harvested in 2013 were stored for 12 months and submitted to a new germination test. Parallel to these tests, the seeds imbibition curve was determined in substrates over and between sheets of paper at 15, 20, 25 and 30 degrees C temperatures. The fruits and seeds had similar lengths and diameters in both years of observations. The seeds can be stored for up to 12 months without loss in viability and temperatures of 25 and 30 degrees C are suitable for performing the germination test of this species. The water absorption curve of desert rose seeds follows a triphasic pattern of soaking.",Fetal Lung Maturity; Fetal Ultrasonography; Pulmonary Su rfactant; Lecithin/Sphin? gomyelin relation; Fetal Pulmonary Artery; Doppler,,"[ 1 ] Universidad de Cara bobo, Venezuela
[ 2 ] Universidad Nacional San Marcos, Perú",,
50,"Biometric description of fruits and seeds, germination and imbibition pattern of desert rose [Adenium obesum (Forssk.), Roem. & Schult.",Journal of Seed Science,2020年12月,5,21,"This paper tackles the relationship between democracy and vigilance, particularly through discussing the premise that increased surveillance equals less democracy. The author describes the National Tax and Social Identification System and the Federal Biometric Identification System for the Security of the Argentine Republic, and he then explores the weak institutional capacity to process factual disagreements regarding security/surveillance. Finally, based on the Argentine case, he proposes the institutional level of factual disagreements as a relevant dimension to understand how a democracy produces surveillance systems while still being a democracy.",Adenium obesum (Forssk.);?Roem. & Schult.;?Apocynaceae;?seeds storage,,"Universidade Estadual de Londrina?Univ Estadual Londrina, Caixa Postal 1011, BR-86057970 Londrina, PR, Brazil.","Univ Estadual Londrina, Caixa Postal 1011, BR-86057970 Londrina, PR, Brazil",
51,GENETIC CORRELATIONS AND PATH ANALYSIS FOR FRUIT ,Revista Brasileira de Fruticultura,2015年9月,5,35,"The palm tree Euterpe edulis is a native species from Mata Atlantica and it is nowadays found in the list of species which are threatened by extinction. One option to withdraw it from this list would be the stimulation of the commercial planting aiming the management of fruits which receive the ""super fruit"" classification by their chemical and nutritional properties. However, one stage of extreme importance that precedes the superior genotypes selection is the study of associations among the variables, because it allows delineating alternate selection strategies to maximize the gains. The present study had as objective to estimate the genetic correlations by the REML/BLUP procedure and the direct and indirect effects upon fruit mass by path analysis for six fruit characters of 198 accessions of E. edulis. Fruits of 198 Juara genotypes collected in 20 forestry fragments in the south and Caparao region of the state of Esparito Santo were analyzed. From each genotype 25 fruits were evaluated for the characteristics: longitudinal and equatorial fruit and seed diameter; fruit and seed mass. The obtained data were used for genetic correlations estimative through the method of restricted maximum likelihood and better unbiased linear prediction (REM/BLUP). Subsequently, the genetic correlations among the fruit variables were submitted to path analysis. The six fruit characters studied show positive genetic association with magnitude higher than 0.71 by the REML/BLUP procedure. The longitudinal diameter of fruit and seed mass have greater direct effect on fruit weight, which makes them most indicated to increase the chances of success in the Juara genotypes selection with larger fruit. The characteristics longitudinal diameter of fruit and the seed mass are the main determinants of changes in the mass of fruit.",Euterpe edulis;?Pre-improvement;?Characters Selection;?Biometric Analysis,EUTERPE-EDULIS,"Universidade Federal do Espirito Santo?Univ Fed Espirito Santo, Dept Prod Vegetal, Campus Alegre, BR-29500000 Alegre, ES, Brazil.","Univ Fed Espirito Santo, Dept Prod Vegetal, BR-29500000 Alegre, ES, Brazil",
52,Intraocular lenses and clinical treatment in paediatric cataract,Revista Brasileira de Oftalmologia,2015年6月,1,45,"Pediatric cataract is the most common treatable cause of blindness in children. Prevalence, etiology and morphology vary with the socioeconomic development. The treatment goal is to reduce amblyopia, being difficult management especially in unilateral cases. The decision on aphakia or primary intraocular lens should be individualized as well as correction with contact lens or spectacles. The intraocular lens single-piece hydrophobic acrylic are the most implanted in children and the preferably is in the capsular bag. The Sanders-Retzlaff-Kraff theoretic (SRK/T) stressing that is described as more predictable, following Holladay I and SRK II and the recommendation is to under correction +6.0 or +8.0 dioptrias expecting the growth of the eye. The posterior capsule opacity is the most frequent complication and varies with the material choice of the lens. Glaucoma is the most serious postoperative complication and depends on the timing of the surgery, primary lens implantation and time of post surgical follow-up. The adherence to occlusion therapy with patching is critical to the visual prognosis and is determined by the child’s age and laterality of the cataract. There was significant improvement in the surgery and in IOLs, however the final visual prognosis is still not desirable.",Cataract/congenital; Cataract/etiology; Aphakia/surgery; Contact lenses; Lenses intraocular,,,,
53,From offender to victim-oriented monitoring: a comparative analysis of the emergence of electronic monitoring systems in Argentina and England and Wales,urbe. Revista Brasileira de Gest?o Urbana,2015年8月,1,48,"The increasingly psychological terrain of crime and disorder management has had a transformative impact upon the use of electronic monitoring technologies. Surveillance technologies such as electronic monitoring-EM, biometrics, and video surveillance have flourished in commercial environments that market the benefits of asocial technologies in managing disorderly behavior and which, despite often chimerical crime prevention promises, appeal to the ontologically insecure social imagination. The growth of EM in criminal justice has subsequently taken place despite, at best, equivocal evidence that it protects the public and reduces recidivism. Innovative developments in Portugal, Argentina and the United States have re-imagined EM technologies as more personalized devices that can support victims rather than control offenders. These developments represent a re-conceptualization of the use of the technology beyond the neoliberal prism of rational choice theories and offender-oriented thinking that influenced first generation thinking about EM. This paper identifies the socio-political influences that helped conceptualize first generation thinking about EM as, firstly, a community sentence and latterly, as a technique of urban security. The paper reviews attempts to theorize the role and function of EM surveillance technologies within and beyond criminal justice and explores the contribution of victimological perspectives to the use of EM 2.0.",Electronic monitoring;?Criminal justice;?Victim-orientation;?Policy transfer,SURVEILLANCE,"Sheffield Hallam University?Sheffield Hallam Univ, Dept Law & Criminol, Sheffield, S Yorkshire, England.","? Sheffield Hallam Univ, Dept Law & Criminol, Sheffield, S Yorkshire, England",
54,"Morphoanatomical, histochemical and biometric aspects of pyrene of Bactris maraja (Arecaceae)",Rodriguésia,2015年3月,7,49,"Bactris maraja (marajá) is a common palm tree at the margins of Amazonian lakes and streams, whose edible fruits are eaten by man and wildlife. Morphological and anatomical studies of reproductive structures can provide information that will subsidize taxonomic, physiological and ecological studies. The aim of this study was to determine the biometric and morphoanatomical features of the pyreneas well as histochemical characteristics of the seed. Mature fruits were collected and we measured size, fresh mass, water content and described shape, color and texture. The anatomical study was performed by resinembedding. Histochemical tests for detection of principal metabolites were applied. The pyrenes and isolated seeds showed small biometric variationexcept for fresh weight. The pyrene is obovate to elliptical, with a thick, hard, sclerified endocarp, formed by cells with thick walls. The seed is compressed obovate to elliptic, with a thin chartaceous seed coat, light brown, adhered to the endocarp composed of thickened parenchyma cells and tanniferous cells; bulky endosperm, solid, homogeneous, white, formed by oblong, elliptical and transversely oval cells, that are rounded longitudinally, with protein and lipid reserves; embryo lateral, conical, small, milky-white, with protein and lipid content, undifferentiated root pole and shoot pole with three leaf primordia.",?seed; biometry; morphoanatomy; palm; Bactris,,"Universidade Federal do Amazonas, Brazil",,
55,Intraspecific variability of camu-camu fruit in native populations of northern Amazonia,Crop Breeding and Applied Biotechnology,2015年12月,13,34,"Similarly to most breeding programs of native species, camu-camu (Myrciaria dubia (Kunt) McVaugh) improvement is also restricted, due to the scarcity of research results. In this situation, the prospection, collection and conservation of germplasm in genebanks ensure successful selection and breeding studies of the species. In this sense, the purpose of this study was the intraspecific characterization of the biometric variability in fruits of native camu-camu populations of the State of Roraima, in the northern Amazon region. Of 16 populations, 247 sub-samples were evaluated. Analyses were performed with the multivariate technique of principal components and hierarchical clustering, to determine the variables with highest intraspecific variability for the studied traits. The populations found in the lower Rio Branco region performed best for the studied traits, indicating the great potential of the region as a reservoir of promising subsamples for future breeding programs of the species in the northern Amazon.",Myrciaria dubia;?breeding;?selection;?subsample;?germplasm,MYRCIARIA-DUBIA;?PULP,"Empresa Brasileira de Pesquisa Agropecuaria (Embrapa)?Embrapa Roraima, Rod BR 174,Km 08, BR-69301970 Boa Vista, RR, Brazil.","Embrapa Roraima, BR-69301970 Boa Vista, RR, Brazil",
56,Biometric evaluation of the characters of the melon from Sao Caetano (Momordica charantia L),Revista Brasileira de Plantas Medicinais,2015年1月,0,31,"ABSTRACTThe melon from Sao Caetano is a climbing plant, originally from India and South East India and is found in the savanna biome. This study aimed to evaluate the biometric fruit and the number of seeds per fruit of the melon Sao Caetano. The fruits were collected inside a native vegetation area of the campus at the Universidade Federal Rural do Semi-?rido (UFERSA), located in the city of Mossoró, RN. They were then taken to the laboratory of crop science, for the determination of the following characteristics: length, diameter and fruit weight as well as number of seeds per fruit. The descriptive and graphical analyzes were performed by using the statistical package R -project software. The length and diameter variables exhibited a low amplitude variation and a good value for the coefficient of variation. However, the fruit weight and number of seeds per fruit showed a high amplitude variation. There was a high degree of symmetry and a flattened distribution for all traits evaluated in this study. It was also found significant positive simple linear correlation between the length and diameter, and no significant difference between the weight and number of seeds per fruit. The data related to all features of the S?o Caetano melon fruit evaluated in this study were adjusted to normal distribution of probability which allows the performance of interferences with statistical basis.",Momordica charantia L.; vine species; descriptive statistical; inference,,"Universidade Federal Rural do Semi-?rido, Brazil",,
57,"COPASutils: An R Package for Reading, Processing, and Visualizing Data from COPAS Large-Particle Flow Cytometers",PLOS ONE,2014年10月,15,11," Complex Object Parametric Analyzer and Sorter (COPAS) or the BioSorter large-particle flow cytometers. Data obtained from these powerful experimental platforms can be unwieldy, leading to difficulties in the ability to process and visualize the data using existing tools. Researchers studying small organisms, such as Caenorhabditis elegans, Anopheles gambiae, and Danio rerio, and using these devices will benefit from this streamlined and extensible R package. COPASutils offers a powerful suite of functions for the rapid processing and analysis of large high-throughput screening data sets.",,,"Northwestern University?Northwestern Univ, Dept Mol Biosci, Evanston, IL 60208 USA.","Northwestern Univ, Dept Mol Biosci, Evanston, IL 60208 USA",
58,Biometric variations of diaspores of buriti (Mauritia flexuosa L.f. - Arecaceae) in 'veredas' at different conservation stages,Ciência Florestal,2014年12月,3,42,"'Veredas' (palm swamps) are phytophysiognomies of the 'Cerrado' biome, where the palm tree Mauritia flexuosa Lf. - buriti predominates on the tree layer; this species is considered the key resource for many animals, that use it as shelter and source of food, and also by the man who uses their leaves and fruits as raw material and food. Although, they occur in environments protected by the environmental legislation, human actions have affected the populations of 'buritis', by means of the decrease of individuals caused by deforestation, siltation and drainage of these areas. The objective of this study was to evaluate the morphometric parameters of fruits and seeds of Mauritia flexuosa from six different 'veredas' at different conservation stages, located in the Environmental Protection Area of 'Pandeiros' River (north of Minas Gerais state). In total, 1,800 fruits and seeds were sampled, they were measured in length, width and thickness and, after that, they were weighed. To detect differences in morphometric measurements of fruits and seeds among the sampling areas, the analysis of variance was done. There were differences in morphometric measurements between the studied areas, in which 87.5% of the highest averages occurred in areas with the slightest anthropic interventions. This fact is possibly related to the impacts occurred, besides the genetic variations that may fall upon the individuals.",biometrics;?fruits and seeds characterization;?anthropic actions;?swamps,FOREST,"Universidade Estadual de Montes Claros?Univ Estadual Montes Claros, Dept Biol Geral, Programa Posgrad Ciencias Biol, Campos Univ Prof Darcy Ribeiro,Caixa Postal 126, BR-39401089 Montes Claros, MG, Brazil.","Univ Estadual Montes Claros, Dept Biol Geral, Programa Posgrad Ciencias Biol, BR-39401089 Montes Claros, MG, Brazil",
